STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SEX,Sex,AGE,Age,TIME_HORIZ,Time horizon,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,CHL,Chile,POP,Population,PS,Persons,_T,Total,_T,Total,H,Historical,2010,,17063927,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,CHL,Chile,POP,Population,PS,Persons,_T,Total,_T,Total,H,Historical,2011,,17254159,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,CHL,Chile,POP,Population,PS,Persons,_T,Total,_T,Total,H,Historical,2012,,17443491,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,CHL,Chile,POP,Population,PS,Persons,_T,Total,_T,Total,H,Historical,2013,,17611902,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,CHL,Chile,POP,Population,PS,Persons,_T,Total,_T,Total,H,Historical,2014,,17787617,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,CHL,Chile,POP,Population,PS,Persons,_T,Total,_T,Total,H,Historical,2015,,17971423,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,CHL,Chile,POP,Population,PS,Persons,_T,Total,_T,Total,H,Historical,2016,,18167147,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,CHL,Chile,POP,Population,PS,Persons,_T,Total,_T,Total,H,Historical,2017,,18419192,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,CHL,Chile,POP,Population,PS,Persons,_T,Total,_T,Total,H,Historical,2018,,18751405,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,CHL,Chile,POP,Population,PS,Persons,_T,Total,_T,Total,H,Historical,2019,,19107216,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,CHL,Chile,POP,Population,PS,Persons,_T,Total,_T,Total,H,Historical,2020,,19458310,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,CHL,Chile,POP,Population,PS,Persons,_T,Total,_T,Total,H,Historical,2021,,19678363,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,CHL,Chile,POP,Population,PS,Persons,_T,Total,_T,Total,H,Historical,2022,,19828563,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,COL,Colombia,POP,Population,PS,Persons,_T,Total,_T,Total,H,Historical,1969,,22274200,,A,Normal value,0,Units,0,Zero
