iso,year,ehb_crude_dev_non_ppp,eq_ehb_crude_dev_non_ppp,debt_ehb_crude_dev_non_ppp,fdi_ehb_crude_dev_non_ppp,eq_debt_ehb_crude_dev_non_ppp
NZL,1994,0.10432400333509784,-0.6980175666180335,Inf,0.8524917855433669,-1.2471233316177388
NZL,1995,-0.0109405956279085,-0.7462892165539015,Inf,0.6521288974946684,-1.3789596844915253
NZL,1996,0.196604852429773,0.21693106267864914,Inf,0.727650351881955,-0.4574488573788904
NZL,1997,-0.2020950054114825,-0.20189096239227133,Inf,0.3232417444500886,-0.8123554449297248
NZL,1998,-0.26156139288075797,-0.24079234614615252,Inf,0.25529692077221733,-0.762754386970476
NZL,1999,-0.1896925786724869,-0.6371096898914241,Inf,0.4973856532670373,-0.9707118647143456
NZL,2000,-0.31357709929353583,-0.25664584972261606,Inf,-0.009102867922509583,-0.4989439036493566
NZL,2001,-0.23541446941391558,0.3152520346451746,-0.6502142638177237,-0.20425629645993926,-0.18485504745860815
NZL,2002,-0.20174705594625497,0.375641053998806,-0.7601576891982702,-0.028237289036359137,-0.25980689000614166
NZL,2003,-0.4268020848627615,0.24227329966771438,-1.1996955202603796,-0.25760716795192096,-0.46722550316409994
NOR,1993,-0.008099509784047276,0.25767897039563525,Inf,0.2346993822782184,0.012105457776845352
NOR,1994,0.01761669929050802,0.06759722919401989,Inf,0.3967035412544073,-0.1371476461268748
NOR,1995,0.09144972336136625,0.0031233346615042734,Inf,0.3422143022586084,-0.03139896409985132
NOR,1996,0.1801542947358048,0.023589907845429803,Inf,0.2956233136302948,0.183807618390865
NOR,1997,0.24505625486013238,0.08830738766148416,Inf,0.2247240731872071,0.34244147354309384
NOR,1998,0.2775093176759019,0.510622870955252,Inf,0.21843217490634093,0.39635850604689504
NOR,1999,0.26589923463657084,0.4374246104587034,Inf,0.32814098035524464,0.3089876766500038
NOR,2000,0.2879826674729401,0.484132615596083,Inf,0.14450885483580866,0.44967796385454195
NOR,2001,0.3071626236239689,0.39728009459374736,0.7271805805313323,0.1875058420496305,0.4517577103600494
NOR,2002,0.44310796098486976,0.6875469465975466,0.8096515436913073,0.26134883603886583,0.6290622953128278
NOR,2003,0.35475214735095717,0.6704922823438113,0.732530140621191,0.1148741325141498,0.570471486155251
PRT,1993,-1.4499251160053879,-1.057020380466981,Inf,-1.3016393672421773,-1.330086943436461
PRT,1994,-0.9407748238808389,-0.8921874896557709,Inf,-1.23568619898086,-0.5265543872257683
PRT,1995,-0.6609426511385561,-0.55222852154581,Inf,-1.190670850825133,-0.22069549641936836
PRT,1996,-0.4111453856768812,-0.3268550166010047,Inf,-1.0836979873093209,0.004641424280665163
PRT,1997,-0.36322666047974317,-0.5820899742605885,Inf,-0.8756672475623943,-0.025552408309392316
PRT,1998,-0.18516425188361796,-0.7091758515245914,Inf,-0.3424658773432787,-0.012292574909459564
PRT,1999,-0.17584770062412292,-0.7793427882663164,Inf,-0.39459445953575045,0.014314328839511559
PRT,2000,-0.051883863617241954,-0.7885079507318657,Inf,-0.1083371103672357,0.06148272608202676
PRT,2001,-0.04144537258897679,-0.8428984743648456,0.6614112977536155,-0.0701012018364977,0.049192641263486436
PRT,2002,-0.007292119504821559,-0.7018708332356092,0.6946577550398525,-0.2051487570043089,0.18673520265775811
PRT,2003,0.09712230460603916,-0.8147478252617348,0.833250770280817,-0.05854304232670837,0.27276794878129307
ESP,1993,-0.8602281001475691,-1.0668161324892225,Inf,-0.5409292473314999,-0.9369266419235998
ESP,1994,-0.8281980791525139,-0.9894538937209951,Inf,-0.46859398318479384,-0.9532482634201762
ESP,1995,-0.8471929184622675,-1.0562274987308231,Inf,-0.5389440137026011,-1.0562194137558896
ESP,1996,-0.9112715641270674,-1.16326440600491,Inf,-0.5704592855243953,-1.1773638517835945
ESP,1997,-0.66558311029696,-0.6555455626336242,Inf,-0.44944258766990264,-0.7745255207022992
ESP,1998,-0.40293357981010425,-0.47748365283489314,Inf,-0.32703759892188566,-0.3737237155472479
ESP,1999,-0.21146633436249807,-0.27918676575021095,Inf,-0.08740424148645065,-0.2104991485496266
ESP,2000,-0.05753449605194094,-0.04744621533978943,Inf,0.01992633497537466,-0.03314685629394143
ESP,2001,-0.14082770512895476,-0.4261798447889742,0.30634018881226543,-0.07343613800233251,-0.11659952172193822
ESP,2002,-0.11937139269902936,-0.6390364070958394,0.4297560210024105,-0.14744045534140882,-0.02151311412787582
ESP,2003,-0.10214861749544413,-0.6463573495334207,0.5180059510161698,-0.18231369163992084,0.03298491582771468
SWE,1993,0.39852529352200494,0.7741690300873478,Inf,0.9297370678961618,-0.07288206921565576
SWE,1994,0.4593347781256214,0.7902470262855221,Inf,1.0157324149324436,-0.05676926880665967
SWE,1995,0.5371362007672973,0.9798999563874733,Inf,0.8998561281131228,0.23358896078862257
SWE,1996,0.4419695275132556,0.9126349001999059,Inf,0.752828911239805,0.22016789900161693
SWE,1997,0.6479761457955734,0.9652634275047871,Inf,0.9868334238369895,0.3857973614303867
SWE,1998,0.5736914656847107,0.9829354182589074,Inf,0.8056817902950234,0.4688245327180557
SWE,1999,0.6914247860571016,1.0510041579308567,Inf,0.962821699957998,0.571445421525432
SWE,2000,0.6409308025875887,0.8645239053340524,Inf,0.9155562600010103,0.4887986062096905
SWE,2001,0.6561430658786608,0.9937694344358399,0.011959392928224233,0.932307011331041,0.4891217830171186
SWE,2002,0.5885295372914338,0.9145218331056995,-0.11210522481060159,0.9530017838701416,0.31421042730434867
SWE,2003,0.5370978374888207,0.918850703086403,-0.10415932160545549,0.8713786722420775,0.32697789317015274
CHE,1993,1.9318517823243122,2.304055349987106,Inf,1.4647162522017223,2.4161125000617067
CHE,1994,1.8122522196528026,2.224939086154121,Inf,1.4520465093253487,2.2545813633306113
CHE,1995,1.8116441900393763,2.1002875320721595,Inf,1.4247970058481494,2.1943449870666685
CHE,1996,1.7203486430986394,2.0334746426122408,Inf,1.3451236771844404,2.033505979159886
CHE,1997,1.74759905333402,2.042666384201181,Inf,1.4578852119203258,1.9977324581780374
CHE,1998,1.6677737633273577,1.9498591566955061,Inf,1.3703678470661367,1.9051332723399388
CHE,1999,1.5484091926619339,1.8322709308031158,Inf,1.316462043212578,1.7440841590590508
CHE,2000,1.519282602661276,1.8026083299872389,Inf,1.3588573476807064,1.6896623331366825
CHE,2001,1.3942865397867041,1.667592206218987,1.6454492059218586,1.2888233918954848,1.5309689305029255
